"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: listSize"
"atomicLong","avgt",1,5,9.046405,0.126194,"ms/op",1000000
"atomicLong","avgt",1,5,90.430721,0.329267,"ms/op",10000000
"atomicLong","avgt",1,5,920.183146,4.056241,"ms/op",100000000
"longAdder","avgt",1,5,0.926110,0.020910,"ms/op",1000000
"longAdder","avgt",1,5,10.394126,0.382628,"ms/op",10000000
"longAdder","avgt",1,5,86.901322,1.101573,"ms/op",100000000
"longStreamSum","avgt",1,5,1.043819,0.078658,"ms/op",1000000
"longStreamSum","avgt",1,5,9.540500,6.732101,"ms/op",10000000
"longStreamSum","avgt",1,5,79.862071,0.508003,"ms/op",100000000
"volatileLong","avgt",1,5,236.155498,25.827478,"ms/op",1000000
"volatileLong","avgt",1,5,2090.320675,230.247184,"ms/op",10000000
"volatileLong","avgt",1,5,21619.016933,5649.879902,"ms/op",100000000
